id,question,choice_A,choice_B,choice_C,choice_D,choice_E,answerKey
e5593c5c3951ea5c03a7531eaf98da14,Billy turned off the water by using the diaphragm.  A diaphragm is a type is what?,drugstore,human,bivalve,valve,gas pump,D
0f5976ba9ec5643e48175ca5bf76a742,"If someone saved up for a new bass, where would they go to get it?",freshwater lake,seafood restaurant,music store,barbershop quartette,river,C
94af82191eea67142d673b1726e90731,Where do people go near their own home to sit on the couch?,apartment,livingroom,bus stop,den,neighbor's house,E
998fbb12e51cb4af963c26d14eb5213d,where is a good place to get fresh wood?,boat,tree,hardware store,own home,jungle,B
b195c4eb81b16d2c0c781513f149cb54,After standing in line all day what is likely to happen?,learn a new way to bake bread,order,tiredness,get tired,fidgeting,D
d9c459563c2892d255abac590ae73789,"The cubicles felt like their own little rooms, you could hardly even see over the what?",square shape,doors and windows,apartment,border,high walls,E
6e0ae8e718a477a7ec334400f66c0fc7,Where is a mouse likely to enter a house?,garage,cupboard,kitchen,sewer,attic,A
1c3cd8e27a5b9dfcc29a4837c833fa3a,"Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what?",grief,confusion,relief,depression,happiness,E
d6f0cbc4627aa5f4e64902dea2d4c6d1,Dan said that getting in line was the best choice because it would lead to what?,being ordered,less confusion,boredom,standing in line,have to wait for,B
8cd9f784277466e40b72750727ab2f83,Name a sort of place where live crabs are not allowed.,most offices,fish department,basin,fancy restaurant,fish market,A
e6766a66f8d326bf00fbf628a0e4ef24,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana,everglades,D
be3ebf66bab30dfba91a697553d1eb74,"Though it was unhealthy they decided to buy food from the stand, they were travelling and suffering from what?",food to eat,paying,spend money,boredom,hunger,E
c28c247c18893ced911cf791819cb67b,"Using television to broadcast the same shows to everyone, you can potentially increase what?",innovation,visual,falling asleep,entertained,conformity,E
eae2dacce88c2d046660009717bfed61,"The human wanted to give a bone as a reward, where did he put it?",skeleton,human body,dog's mouth,fresh fish,barn,C
34d28fb5bbfe01a56bf82e9fd27e847a,"The man was in a rut of selfish thoughts and decided to commit suicide, he didn't think of the what it would cause others?",would die,dying,pain,jubilation,end life,C
7a91e4eaeae10587d4e2825059653676,Billy went away because his parents were fighting and he didn't want to stay where?,home team,present,at home,come back,charming,C
a3f25ae670ca7752bacbb64a032dc6ae,What is likely to crash in an intersection?,fork in road,town center,city street,cars,street corner,D
58a3498cc62f66da0082127391599728,Where is too much snow likely to cause damage?,north pole,trees,surface of earth,roof,ground,D
a0167eba22bff5cda04196c964db51c0,What is something that probably has a lot of testosterone and way too much alcohol?,beer,wine,restaurant,fraternity house,pub,D
bda8a377b8fbd98c85ed8df2c900dd58,What can large amounts of water do over long periods of time?,room temperature,thin blood,make parks,take several forms,move mountains,E
38b9ebd81476a0362c1c60d1e0987913,"The child was curious about something, what did he do?",grow up,become adult,ask questions,play games,acting out,C
4846f5c9f479391d32a5c1a07c12b70f,"Hundreds of miles away a paper was signed and the conflict was over, not a single drop of blood would hit the what that day?",vein,person,paper,clinic,battlefield,E
480906022f4ec20f6aa4366a63fac997,Where is a blanket useful to cover a horse?,bedroom,hospital,michigan,backpack,shoe,C
3d9b2d52fe19b6132e5347d6955f7c56,Where would you get marble if you do not have any?,opaque,game,pawn shop,store,pouch,D
7de6e576a560633e0cf352ac153cf8ca,"Lilly was getting warm and John's hands ran down her hips and rubbed her butt.  She wasn't quite there yet, but she was beginning to experience what?",get hot,hyperthermia,feeling comfortable,euphoria,pleasure,E
91f17d513db1d9c9c50889524cca109a,What does someone feel when they lose playing soccer?,sweating,work out,excitement,anger,getting tired,D
a0a0f91e33c6b4856ab5ee1b252afaa3,"John was a servant, but he was paid for his work.  What was he?",in charge,boss,free person,queen,lord,C
6e93cf389b928e67d37c3b22df1af2b5,"If the weather means you what, so do your animals?",travel,get cold,feel pain,move,electrical circuit,B
ebe88bc7ce582801ab476a4136d96ed0,Where would you get a mailbox if you do not have one?,downtown area,front yard,obesity,post office,hardware store,E
67a9cd11f84c67739ceaedfa8519620e,They say a person should do what if they want something sweet and healthy?,order fries,eat fruit,feel stupid,water garden,catch cold,B
