id,question,choice_A,choice_B,choice_C,choice_D,choice_E,answerKey,light_1,light_2,light_3,medium_1,medium_2,medium_3,strong_1,strong_2,strong_3
e5593c5c3951ea5c03a7531eaf98da14,Billy turned off the water by using the diaphragm.  A diaphragm is a type is what?,drugstore,human,bivalve,valve,gas pump,D,Billy turned off the water by using the diaphragm. A diaphragm is a type of what?,"Billy turned off the water by using the diaphragm, a diaphragm is what?",,Billy turned off the water by using the diaphragm - What is a diaphragm?,"Billy turned off the water by using the diaphragm, A diaphragm is what?","Billy turned off the water by using the diaphragm, which is a type of diaphragm?",Billy turned off water by using the diaphragm. What is a diaphragm type?,Billy plugged water by using a diaphragm - a diaphragm is what?,"Billy turned off the water by using the diaphragm, a diaphragm is what?"
0f5976ba9ec5643e48175ca5bf76a742,"If someone saved up for a new bass, where would they go to get it?",freshwater lake,seafood restaurant,music store,barbershop quartette,river,C,"If someone saved for a new bass, where would they go to get it?",Where would they go to get a new bass if someone saved up for it?,Where would they go if someone saved up for a new bass?,"If someone saved for a new bass, where would they go to get it?",How would someone save for a new bass?,Where would they go if someone saved for a new bass?,"If someone saved for a new bass, where would they go to get it?",Then where would someone go to receive a new bass if someone saved it up?,How would people go if someone saved up for a new bassline to get it?
94af82191eea67142d673b1726e90731,Where do people go near their own home to sit on the couch?,apartment,livingroom,bus stop,den,neighbor's house,E,Where do people go to sit on the couch near their own home?,,,Where do people go to sit on the couch in the distance from their own home?,Wo go people near their own home to sit on their couch?,Where people go to sit on the couch in their own home?,Wo go people to sit on the couch near their own home?,When do people go to sit on their own sofas near their own home?,Where do people go to sit at their own home to sit on the couch?
998fbb12e51cb4af963c26d14eb5213d,where is a good place to get fresh wood?,boat,tree,hardware store,own home,jungle,B,,,,Wo is a good place to get fresh wood?,,,Where is a good place to buy fresh wood?,Where is a good place to gather fresh wood?,Where is a good place to purchase fresh wood?
b195c4eb81b16d2c0c781513f149cb54,After standing in line all day what is likely to happen?,learn a new way to bake bread,order,tiredness,get tired,fidgeting,D,What is likely to happen after standing in line all day?,What is likely to happen after standing all day in line?,,What is likely to happen after standing in line all day?,What is likely to happen after standing all day in line?,What is likely to happen after standing all day in the line?,Was seems possible to happen after standing in line for all day?,What would happen to your mouth if after standing all day?,What is most likely to happen after standing in line all day?
d9c459563c2892d255abac590ae73789,"The cubicles felt like their own little rooms, you could hardly even see over the what?",square shape,doors and windows,apartment,border,high walls,E,The cubicles felt like their own little rooms - you could barely see what?,"The cubicles felt like their own little rooms, you could barely see over the what?","The cubicles felt like their own little rooms, you could barely see the what?","The cubicles felt like their own little rooms, you could hardly see over what?","The cubicles felt like their own little rooms, you could barely see what over them?","The cubicles felt like their own little rooms, you could hardly see the what?","The cubicles felt like their own little rooms, which you could barely see the what?",The cubicles felt like their own little rooms that you could barely see anything what?,The cubicles felt like their own little rooms. You could barely see over what?
6e0ae8e718a477a7ec334400f66c0fc7,Where is a mouse likely to enter a house?,garage,cupboard,kitchen,sewer,attic,A,,,,Wo is a mouse likely to enter a house?,Where is likely for a mouse to enter a house?,Where is likely a mouse to enter a house?,Which property is likely to enter a domestic mouse?,Where is likely a mouse to enter a house?,Wo is a mouse likely to enter a home?
1c3cd8e27a5b9dfcc29a4837c833fa3a,"Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what?",grief,confusion,relief,depression,happiness,E,"Stopping being married to one another might seem like a negative thing as it is an end, but it can also be a beginning that brings what?","Stopping being married to each other may seem like a negative thing as it is an end, but it can also be a beginning that brings what?","Stopping being married to one another may seem like a negative thing as it is an end, but it can also be a beginning that brings what?","Stopping being married to each other might seem like a negative thing as it is a final moment, but it can also be a beginning that brings what?","Stopping to be married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what?","Stopping being married to one another might seem like a negative thing as it is an end, but it can also be a beginning that brings what?","The end of being ius married might seem like a negative thing as it may end, but it can also be a start that brings what?","Stopping being married would seem like a negative thing as it is an end, but it can also be a starting point that brought what?","Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that leads what?"
d6f0cbc4627aa5f4e64902dea2d4c6d1,Dan said that getting in line was the best choice because it would lead to what?,being ordered,less confusion,boredom,standing in line,have to wait for,B,,,,Dan said that getting into the line was the best choice because it would lead to what?,Dan said that getting into line was the best choice because it would lead to what?,Dan said that going in line was the best choice because it would lead to what?,Dan said that getting line was the best choice because it would lead to - what?,Dan said that joining the line was the best choice because it would lead to what?,Dan said that getting on line was the best choice because it would lead to what?
8cd9f784277466e40b72750727ab2f83,Name a sort of place where live crabs are not allowed.,most offices,fish department,basin,fancy restaurant,fish market,A,,,,,,,,,
