model,id,paraphrase_level,variants_correct,variants_total,para_majority_correct,gold_answer,orig_pred,orig_correct,taxonomy
llama2_7b,000990552527b1353f98f1e1a7dfc643_1,light,1,1,True,E,E,True,Stable Correct
llama2_7b,000990552527b1353f98f1e1a7dfc643_1,medium,2,3,True,E,E,True,Stable Correct
llama2_7b,000990552527b1353f98f1e1a7dfc643_1,strong,3,3,True,E,E,True,Stable Correct
llama2_7b,0029a0f6e962a0b87bb9908a7a8ef1e1,light,0,2,False,B,E,False,Stable Wrong
llama2_7b,0029a0f6e962a0b87bb9908a7a8ef1e1,medium,0,3,False,B,E,False,Stable Wrong
llama2_7b,0029a0f6e962a0b87bb9908a7a8ef1e1,strong,0,3,False,B,E,False,Stable Wrong
llama2_7b,002f11330579aacc7d4e1ff7a957b1a9,light,0,3,False,C,,False,Stable Wrong
llama2_7b,002f11330579aacc7d4e1ff7a957b1a9,medium,0,3,False,C,,False,Stable Wrong
llama2_7b,002f11330579aacc7d4e1ff7a957b1a9,strong,0,3,False,C,,False,Stable Wrong
llama2_7b,005374ba566a6c45c0578786bd750d16,light,0,2,False,D,,False,Stable Wrong
llama2_7b,005374ba566a6c45c0578786bd750d16,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,005374ba566a6c45c0578786bd750d16,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,0077e331c0a3d611c0d8ad367783f2ef,light,0,3,False,B,B,True,Brittle Failure
llama2_7b,0077e331c0a3d611c0d8ad367783f2ef,medium,0,3,False,B,B,True,Brittle Failure
llama2_7b,0077e331c0a3d611c0d8ad367783f2ef,strong,0,3,False,B,B,True,Brittle Failure
llama2_7b,008bdeedf3c83949a46bcf238e94d59e,medium,1,1,True,A,A,True,Stable Correct
llama2_7b,008bdeedf3c83949a46bcf238e94d59e,strong,2,3,True,A,A,True,Stable Correct
llama2_7b,00accc9402dbb860382efbe15284f4e7,light,0,3,False,B,B,True,Brittle Failure
llama2_7b,00accc9402dbb860382efbe15284f4e7,medium,2,3,True,B,B,True,Stable Correct
llama2_7b,00accc9402dbb860382efbe15284f4e7,strong,0,3,False,B,B,True,Brittle Failure
llama2_7b,00dc6e53c3715d0050ffb78646cd6c7c,light,1,1,True,A,A,True,Stable Correct
llama2_7b,00dc6e53c3715d0050ffb78646cd6c7c,medium,1,3,False,A,A,True,Brittle Failure
llama2_7b,00dc6e53c3715d0050ffb78646cd6c7c,strong,2,3,True,A,A,True,Stable Correct
llama2_7b,00e5a9f180a3bac20caad9fe785c4e97,light,0,2,False,D,,False,Stable Wrong
llama2_7b,00e5a9f180a3bac20caad9fe785c4e97,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,00e5a9f180a3bac20caad9fe785c4e97,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,00ea6f8c87daf4591a54b2a10e5ae623,light,0,1,False,C,,False,Stable Wrong
llama2_7b,00ea6f8c87daf4591a54b2a10e5ae623,medium,0,3,False,C,,False,Stable Wrong
llama2_7b,00ea6f8c87daf4591a54b2a10e5ae623,strong,0,3,False,C,,False,Stable Wrong
llama2_7b,00eb7051ff40712b2b6b26b2c893e463,light,0,3,False,D,,False,Stable Wrong
llama2_7b,00eb7051ff40712b2b6b26b2c893e463,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,00eb7051ff40712b2b6b26b2c893e463,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,00facd1a6b5c73132cb38bd81338e677,light,0,3,False,D,,False,Stable Wrong
llama2_7b,00facd1a6b5c73132cb38bd81338e677,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,00facd1a6b5c73132cb38bd81338e677,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,01071d55e0e78177f9014cb940b2077a,light,1,3,False,B,B,True,Brittle Failure
llama2_7b,01071d55e0e78177f9014cb940b2077a,medium,3,3,True,B,B,True,Stable Correct
llama2_7b,01071d55e0e78177f9014cb940b2077a,strong,3,3,True,B,B,True,Stable Correct
llama2_7b,01222aa87ada7283129f7662cc0c4c5b,light,0,1,False,D,,False,Stable Wrong
llama2_7b,01222aa87ada7283129f7662cc0c4c5b,medium,1,3,False,D,,False,Stable Wrong
llama2_7b,01222aa87ada7283129f7662cc0c4c5b,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,0138d699ab2487da976b35b29b3de2c2,light,0,3,False,E,,False,Stable Wrong
llama2_7b,0138d699ab2487da976b35b29b3de2c2,medium,0,3,False,E,,False,Stable Wrong
llama2_7b,0138d699ab2487da976b35b29b3de2c2,strong,0,3,False,E,,False,Stable Wrong
llama2_7b,0144777178b1629bcbb677511a89641d,light,0,2,False,E,,False,Stable Wrong
llama2_7b,0144777178b1629bcbb677511a89641d,medium,0,3,False,E,,False,Stable Wrong
llama2_7b,0144777178b1629bcbb677511a89641d,strong,1,3,False,E,,False,Stable Wrong
llama2_7b,014985faaf2e1bfe89c0f59f2c6d7868,light,0,1,False,C,E,False,Stable Wrong
llama2_7b,014985faaf2e1bfe89c0f59f2c6d7868,medium,0,3,False,C,E,False,Stable Wrong
llama2_7b,014985faaf2e1bfe89c0f59f2c6d7868,strong,0,3,False,C,E,False,Stable Wrong
llama2_7b,016e308702ae4d69e4db7a113aea046e,light,0,3,False,E,,False,Stable Wrong
llama2_7b,016e308702ae4d69e4db7a113aea046e,medium,0,3,False,E,,False,Stable Wrong
llama2_7b,016e308702ae4d69e4db7a113aea046e,strong,1,3,False,E,,False,Stable Wrong
llama2_7b,016ff25e8b1db4489997fd7c345cd5aa,light,0,3,False,C,,False,Stable Wrong
llama2_7b,016ff25e8b1db4489997fd7c345cd5aa,medium,0,3,False,C,,False,Stable Wrong
llama2_7b,016ff25e8b1db4489997fd7c345cd5aa,strong,0,3,False,C,,False,Stable Wrong
llama2_7b,017024cafd984c091f3c09fed540afaf,light,1,3,False,B,E,False,Stable Wrong
llama2_7b,017024cafd984c091f3c09fed540afaf,medium,0,3,False,B,E,False,Stable Wrong
llama2_7b,017024cafd984c091f3c09fed540afaf,strong,1,3,False,B,E,False,Stable Wrong
llama2_7b,02299b9cb697d47f6ba4bc01052b3977,light,3,3,True,E,E,True,Stable Correct
llama2_7b,02299b9cb697d47f6ba4bc01052b3977,medium,3,3,True,E,E,True,Stable Correct
llama2_7b,02299b9cb697d47f6ba4bc01052b3977,strong,3,3,True,E,E,True,Stable Correct
llama2_7b,028ae1a89e01ee71f3c41bfc2c3f0dc0,light,0,3,False,B,E,False,Stable Wrong
llama2_7b,028ae1a89e01ee71f3c41bfc2c3f0dc0,medium,0,3,False,B,E,False,Stable Wrong
llama2_7b,028ae1a89e01ee71f3c41bfc2c3f0dc0,strong,0,3,False,B,E,False,Stable Wrong
llama2_7b,02ad01de24e55c26de636a2b38641590,light,3,3,True,B,B,True,Stable Correct
llama2_7b,02ad01de24e55c26de636a2b38641590,medium,1,3,False,B,B,True,Brittle Failure
llama2_7b,02ad01de24e55c26de636a2b38641590,strong,2,3,True,B,B,True,Stable Correct
llama2_7b,02aff80f872744436b1ce8574479b328,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,02aff80f872744436b1ce8574479b328,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,02ba66eba76b1b4df39816c6f04d8c9e,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,02ba66eba76b1b4df39816c6f04d8c9e,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,02d0a4cca50b591a99a2cd3140d30a4e,light,3,3,True,D,D,True,Stable Correct
llama2_7b,02d0a4cca50b591a99a2cd3140d30a4e,medium,2,3,True,D,D,True,Stable Correct
llama2_7b,02d0a4cca50b591a99a2cd3140d30a4e,strong,3,3,True,D,D,True,Stable Correct
llama2_7b,02f2b4c6096a20255d37bbe140cc3604,light,0,1,False,C,C,True,Brittle Failure
llama2_7b,02f2b4c6096a20255d37bbe140cc3604,medium,0,3,False,C,C,True,Brittle Failure
llama2_7b,02f2b4c6096a20255d37bbe140cc3604,strong,0,3,False,C,C,True,Brittle Failure
llama2_7b,031f641298cffdc4f67712834500526b,light,2,3,True,A,A,True,Stable Correct
llama2_7b,031f641298cffdc4f67712834500526b,medium,2,3,True,A,A,True,Stable Correct
llama2_7b,031f641298cffdc4f67712834500526b,strong,2,3,True,A,A,True,Stable Correct
llama2_7b,032de5ae1d5234caa6d141245f927ee1,light,3,3,True,A,A,True,Stable Correct
llama2_7b,032de5ae1d5234caa6d141245f927ee1,medium,3,3,True,A,A,True,Stable Correct
llama2_7b,032de5ae1d5234caa6d141245f927ee1,strong,1,3,False,A,A,True,Brittle Failure
llama2_7b,0350d9f658e138204aee3cac3c07271a,light,3,3,True,B,B,True,Stable Correct
llama2_7b,0350d9f658e138204aee3cac3c07271a,medium,3,3,True,B,B,True,Stable Correct
llama2_7b,0350d9f658e138204aee3cac3c07271a,strong,3,3,True,B,B,True,Stable Correct
llama2_7b,0364531663dd7c20c42c3877314f84b9,light,0,3,False,D,,False,Stable Wrong
llama2_7b,0364531663dd7c20c42c3877314f84b9,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,0364531663dd7c20c42c3877314f84b9,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,037b530c9d9da0677669318b9670afa8,light,3,3,True,C,C,True,Stable Correct
llama2_7b,037b530c9d9da0677669318b9670afa8,medium,3,3,True,C,C,True,Stable Correct
llama2_7b,037b530c9d9da0677669318b9670afa8,strong,2,3,True,C,C,True,Stable Correct
llama2_7b,038010535de76fcdf43a0776a6f04814,light,0,3,False,B,E,False,Stable Wrong
llama2_7b,038010535de76fcdf43a0776a6f04814,medium,0,2,False,B,E,False,Stable Wrong
llama2_7b,038010535de76fcdf43a0776a6f04814,strong,0,3,False,B,E,False,Stable Wrong
llama2_7b,03845b021f06a052df8dc28e96ed3f11,light,3,3,True,C,C,True,Stable Correct
llama2_7b,03845b021f06a052df8dc28e96ed3f11,medium,3,3,True,C,C,True,Stable Correct
llama2_7b,03845b021f06a052df8dc28e96ed3f11,strong,3,3,True,C,C,True,Stable Correct
llama2_7b,03909c12569f6fdb2aa6d3adfb3213de,light,0,1,False,B,,False,Stable Wrong
llama2_7b,03909c12569f6fdb2aa6d3adfb3213de,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,03909c12569f6fdb2aa6d3adfb3213de,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,03afb9cc86503c820ec5e17f6f3baa3e,light,0,3,False,E,,False,Stable Wrong
llama2_7b,03afb9cc86503c820ec5e17f6f3baa3e,medium,0,3,False,E,,False,Stable Wrong
llama2_7b,03afb9cc86503c820ec5e17f6f3baa3e,strong,0,3,False,E,,False,Stable Wrong
llama2_7b,03c72bd84b65c839ae7e6878d5fe77ad,light,3,3,True,C,C,True,Stable Correct
llama2_7b,03c72bd84b65c839ae7e6878d5fe77ad,medium,3,3,True,C,C,True,Stable Correct
llama2_7b,03c72bd84b65c839ae7e6878d5fe77ad,strong,3,3,True,C,C,True,Stable Correct
llama2_7b,03ceff0d008f78c8b15f01866c85415f,light,0,3,False,B,,False,Stable Wrong
llama2_7b,03ceff0d008f78c8b15f01866c85415f,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,03ceff0d008f78c8b15f01866c85415f,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,04254f570faad7792814e0f8fa04608a,light,1,2,False,D,D,True,Brittle Failure
llama2_7b,04254f570faad7792814e0f8fa04608a,medium,3,3,True,D,D,True,Stable Correct
llama2_7b,04254f570faad7792814e0f8fa04608a,strong,0,3,False,D,D,True,Brittle Failure
llama2_7b,043245f6f1badb30c7b0ed43aa554d33,medium,0,3,False,C,E,False,Stable Wrong
llama2_7b,043245f6f1badb30c7b0ed43aa554d33,strong,0,3,False,C,E,False,Stable Wrong
llama2_7b,049ed52f2dff1567dcc62be73732e120,medium,0,1,False,E,E,True,Brittle Failure
llama2_7b,049ed52f2dff1567dcc62be73732e120,strong,3,3,True,E,E,True,Stable Correct
llama2_7b,04dd2c474f10826f3c47c378b6f54144,light,0,3,False,C,,False,Stable Wrong
llama2_7b,04dd2c474f10826f3c47c378b6f54144,medium,0,3,False,C,,False,Stable Wrong
